agent_id,client,tag_hash,dim,score,block_timestamp,feedback_ts,feedback_date,feedback_hour,owner,agent_uri,uri_scheme,registered_at,registered_at_ts,fully_onchain,reg_json,metadata_parse_ok,metadata_keys,reg_name,reg_description,x402_present,x402_value,x402_status,active_present,active_value,active_status,supportedTrust,service_names,service_endpoints
1,0xf17b5dd382b048ff4c05c1c9e4e24cfc5c6adad9,0xb159f8275310fe7c62e248abc0b7efee4f4359fd22bddc61bfe74ca56c703ccf,other,60.0,2026-02-18 05:08:35.000000 UTC,2026-02-18 05:08:35+00:00,2026-02-18,2026-02-18 05:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
1,0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,0xfb6c6c3c0d5d33f0360426b0b58d3bad994edb94748fa7bd09e73c42d811fb30,quality,50.0,2026-03-30 17:32:23.000000 UTC,2026-03-30 17:32:23+00:00,2026-03-30,2026-03-30 17:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
1,0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,0xfb6c6c3c0d5d33f0360426b0b58d3bad994edb94748fa7bd09e73c42d811fb30,quality,50.0,2026-03-30 17:35:11.000000 UTC,2026-03-30 17:35:11+00:00,2026-03-30,2026-03-30 17:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
1,0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,0xfb6c6c3c0d5d33f0360426b0b58d3bad994edb94748fa7bd09e73c42d811fb30,quality,50.0,2026-03-30 18:38:23.000000 UTC,2026-03-30 18:38:23+00:00,2026-03-30,2026-03-30 18:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
1,0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,0xfb6c6c3c0d5d33f0360426b0b58d3bad994edb94748fa7bd09e73c42d811fb30,quality,50.0,2026-03-31 00:42:23.000000 UTC,2026-03-31 00:42:23+00:00,2026-03-31,2026-03-31 00:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
1,0x130e90223aa47b1a046cbb1f6f27ea98e139ee30,0xfb6c6c3c0d5d33f0360426b0b58d3bad994edb94748fa7bd09e73c42d811fb30,quality,50.0,2026-03-31 00:44:35.000000 UTC,2026-03-31 00:44:35+00:00,2026-03-31,2026-03-31 00:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
2,0xf17b5dd382b048ff4c05c1c9e4e24cfc5c6adad9,0xb159f8275310fe7c62e248abc0b7efee4f4359fd22bddc61bfe74ca56c703ccf,other,55.0,2026-02-18 05:11:47.000000 UTC,2026-02-18 05:11:47+00:00,2026-02-18,2026-02-18 05:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
3,0xf17b5dd382b048ff4c05c1c9e4e24cfc5c6adad9,0xb159f8275310fe7c62e248abc0b7efee4f4359fd22bddc61bfe74ca56c703ccf,other,58.0,2026-02-18 05:12:11.000000 UTC,2026-02-18 05:12:11+00:00,2026-02-18,2026-02-18 05:00:00+00:00,0x9ce7082814bda389f3ba548bdf2626006279569c,,missing,2026-01-29 10:31:11 UTC,2026-01-29 10:31:11+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
100,0xf17b5dd382b048ff4c05c1c9e4e24cfc5c6adad9,0x356250a37e7b79ef3e2fe3277f6474c0525db5da262fe508599c7b0d71c99b35,other,50.0,2026-02-18 05:09:11.000000 UTC,2026-02-18 05:09:11+00:00,2026-02-18,2026-02-18 05:00:00+00:00,0xc34a355c22400c52e561c4212fd29e8e77b91795,,missing,2026-01-29 10:33:23 UTC,2026-01-29 10:33:23+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
100,0xf17b5dd382b048ff4c05c1c9e4e24cfc5c6adad9,0x356250a37e7b79ef3e2fe3277f6474c0525db5da262fe508599c7b0d71c99b35,other,50.0,2026-02-18 05:10:59.000000 UTC,2026-02-18 05:10:59+00:00,2026-02-18,2026-02-18 05:00:00+00:00,0xc34a355c22400c52e561c4212fd29e8e77b91795,,missing,2026-01-29 10:33:23 UTC,2026-01-29 10:33:23+00:00,False,,False,,,,False,,undeclared,False,,undeclared,,,
